City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
346,Kapoeta,SS,88.2,overcast clouds,4.7717,33.5903,Eastgate Hotel
348,Pedro Carbo,EC,81.21,overcast clouds,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
351,Bundaberg,AU,71.22,scattered clouds,-24.85,152.35,Takalvan Motel
352,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
353,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
356,Sampit,ID,76.1,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
358,Nuevo Progreso,MX,70.47,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
359,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
362,Cayenne,GF,78.1,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
363,Cidreira,BR,77.02,clear sky,-30.1811,-50.2056,Hotel Castelo
367,Qui Nhon,VN,71.65,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
370,Jizan,SA,83.34,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
372,Kirakira,SB,80.83,overcast clouds,-10.4544,161.9205,SanBiz Lodge
376,Port Keats,AU,83.44,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
381,Kudahuvadhoo,MV,82.6,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
382,Honiara,SB,78.46,overcast clouds,-9.4333,159.95,Heritage Park Hotel
383,Chabahar,IR,75.7,clear sky,25.2919,60.643,هتل گدروشیا
388,Belmonte,BR,81.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
393,Talcahuano,CL,73.08,clear sky,-36.7167,-73.1167,departamento comodo
394,Amuntai,ID,76.24,overcast clouds,-2.4177,115.2494,Hotel Balqis
396,Dano,BF,94.3,broken clouds,11.15,-3.0667,Auberge Phenix32-Dano
398,Mayuge,UG,76.28,overcast clouds,0.4597,33.4803,Kagolo Bar and Lodge
399,Pitimbu,BR,88.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
402,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
404,Kieta,PG,79.95,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
406,Mecca,SA,76.37,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
407,Sao Felix Do Xingu,BR,87.58,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
411,Gulu,UG,80.62,overcast clouds,2.7746,32.299,ACHOLI INN
417,America Dourada,BR,83.41,overcast clouds,-11.4553,-41.4361,Pousada do Ninho
418,Bonoua,CI,89.22,broken clouds,5.2741,-3.595,Hotel Bon Samaritian
422,Rocha,UY,78.44,clear sky,-34.4833,-54.3333,Hotel Arrarte
426,Cozumel,MX,75.27,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
430,Mubi,NG,89.58,clear sky,10.2676,13.2644,Hotel
432,Rosa Zarate,EC,75.25,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
437,Bilma,NE,75.52,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
440,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
442,Chinsali,ZM,76.95,overcast clouds,-10.5414,32.0816,Chisakatu Guest House
446,Cam Ranh,VN,73.36,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
447,Paracuru,BR,89.62,few clouds,-3.41,-39.0306,Hotel Vento Brasil
451,Kamphaeng Phet,TH,71.44,clear sky,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
452,La Romana,DO,82.13,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
454,Kumo,NG,88.34,broken clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
460,Pisco,PE,71.02,haze,-13.7,-76.2167,Hotel San Isidro Oficial
461,Kannur,IN,76.87,clear sky,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
465,Nicoya,CR,81.95,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
466,Lafiagi,NG,98.37,few clouds,8.8667,5.4167,Bus group international
468,Baillif,GP,81.9,clear sky,16.0202,-61.7463,Hôtel Saint-Georges
469,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
470,Hualmay,PE,72.07,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
471,Pochutla,MX,82.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
472,Progreso,MX,75.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
473,Pringsewu,ID,74.21,scattered clouds,-5.3582,104.9744,Urban Style by Front One
474,Acarau,BR,89.06,scattered clouds,-2.8856,-40.12,castelo pizzaria
475,Atar,MR,84.42,scattered clouds,20.5169,-13.0499,Oumou Elghoura
476,Cap Malheureux,MU,78.48,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
477,Dzaoudzi,YT,85.89,few clouds,-12.7887,45.2699,Le Rocher
478,Moranbah,AU,75.69,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
479,Kalabo,ZM,71.65,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
481,Itacoatiara,BR,88.54,scattered clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
483,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
484,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
490,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,Hotel Fórum
491,Noumea,NC,80.01,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
492,Arlit,NE,80.08,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
496,Juba,SS,91.0,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
500,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
502,Pontes E Lacerda,BR,76.77,overcast clouds,-15.2261,-59.3353,Hotel Bressan
505,Pau Brasil,BR,76.68,overcast clouds,-15.4642,-39.6511,Tina Hotel
508,Alice Springs,AU,85.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
509,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
512,Caravelas,BR,80.29,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
517,Manaure,CO,87.91,scattered clouds,11.7751,-72.4445,Hotel Palaaima
518,Katherine,AU,86.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
520,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
524,Salina Cruz,MX,78.76,clear sky,16.1667,-95.2,Amerik HOTEL
525,Canala,NC,72.09,scattered clouds,-21.5333,165.95,Table d’hôte chez Betty
527,Tete,MZ,80.69,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
528,Hambantota,LK,80.94,clear sky,6.1241,81.1185,Bungalow 63
529,Puerto Quijarro,BO,83.79,overcast clouds,-17.7833,-57.7667,Hotel palance
536,Calvinia,ZA,71.42,light rain,-31.4707,19.776,Die Lemoenhuis
539,Bubaque,GW,83.62,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
540,Riberalta,BO,79.0,broken clouds,-10.9833,-66.1,Hotel Colonial
541,Samarai,PG,81.84,clear sky,-10.6167,150.6667,Nuli Sapi
545,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
548,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
552,Vanimo,PG,78.6,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
556,Acajutla,SV,84.54,broken clouds,13.5928,-89.8275,asi es
559,Kinablangan,PH,76.55,heavy intensity rain,7.6947,126.5503,Morales Eatery and Lodging House
560,Karratha,AU,96.49,clear sky,-20.7377,116.8463,ibis Styles Karratha
561,Ambon,ID,80.74,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
562,Richards Bay,ZA,80.96,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
563,Iracoubo,GF,76.42,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
564,Buala,SB,80.62,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
566,Tutoia,BR,89.58,overcast clouds,-2.7619,-42.2744,Pousada Guará's
569,Bonthe,SL,88.56,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
572,Manokwari,ID,78.76,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
574,Veraval,IN,71.73,few clouds,20.9,70.3667,Lords Inn Somnath
578,Warri,NG,99.61,broken clouds,5.5167,5.75,BON Hotel Delta
579,Hienghene,NC,76.12,scattered clouds,-20.6833,164.9333,Ka Waboana Lodge
580,Maceio,BR,90.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
581,Ouargaye,BF,91.36,scattered clouds,11.5033,0.0572,Résidence le Cotonnier
587,Cabedelo,BR,88.47,light rain,-6.9811,-34.8339,Hotel Pigalle
590,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
592,San Policarpo,PH,80.01,broken clouds,12.1791,125.5072,Agapita M. Nicart
593,Trat,TH,82.98,scattered clouds,12.5,102.5,สวนหนิง-อัศ
594,Isangel,VU,79.11,clear sky,-19.55,169.2667,Tanna Lodge
601,Ankazoabo,MG,86.47,broken clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
603,Katakwi,UG,84.09,overcast clouds,1.8911,33.9661,Ebenezer Guest House
607,Harper,LR,87.53,broken clouds,4.375,-7.7169,Screensaver
614,Matadi,CD,90.93,broken clouds,-5.8167,13.45,Hotel Vivi Palace
625,Quelimane,MZ,84.15,scattered clouds,-17.8786,36.8883,Hotel Flamingo
626,Descalvado,BR,88.68,clear sky,-21.9039,-47.6194,Hotel Descalvado
628,Majene,ID,80.22,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
630,Satipo,PE,81.09,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
631,Zaraza,VE,90.27,broken clouds,9.3503,-65.3245,Hotel Zaraza
633,Guia Lopes Da Laguna,BR,86.83,overcast clouds,-21.4578,-56.1142,Donna Lu
634,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
635,Gurupi,BR,82.74,broken clouds,-11.7292,-49.0686,Via Norte Hotel
636,Braganca,BR,88.84,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
637,Paysandu,UY,89.6,clear sky,-32.3214,-58.0756,Gran Hotel Paysandú
639,Manzanillo,CU,79.63,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
642,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
646,Bosaso,SO,77.02,broken clouds,11.2842,49.1816,Red Sea Hotel
648,Utinga,BR,88.65,scattered clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
652,Barabai,ID,76.8,moderate rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
654,Anito,PH,78.75,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
657,Rawson,AR,79.75,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
664,Tessaoua,NE,85.03,broken clouds,13.7574,7.9874,Benin Dan Kaabou Heberge
670,Adzope,CI,99.01,broken clouds,6.1069,-3.8619,Hôtel AKL
674,Morondava,MG,82.36,clear sky,-20.2833,44.2833,La Case Bambou
675,Carutapera,BR,88.43,overcast clouds,-1.195,-46.02,Lidera
676,Anloga,GH,95.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
684,Manacapuru,BR,84.78,overcast clouds,-3.2997,-60.6206,Novo Hotel
697,Hervey Bay,AU,72.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
698,Puerto Maldonado,PE,75.6,overcast clouds,-12.6,-69.1833,Wasai Hotel
699,Watsa,CD,78.62,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
701,Kitgum,UG,87.49,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
703,Tahoua,NE,85.14,broken clouds,14.8888,5.2692,Bungalows Guesthouse
705,Salinopolis,BR,85.73,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
706,Tagusao,PH,78.78,broken clouds,9.1924,117.8141,Toledo
